+------------------------------------------------------------------------------------------+
|Time of Event |Memory Used | Partitions State |Total Free Memory |Usable Free Memory 
+------------------------------------------------------------------------------------------+
| 0           | 0         |-1, -1, -1, -1, -1, -1 | 100            | 100            |
| 0           | 10         |-1, -1, -1, 15, -1, -1 | 90            | 90            |
| 0           | 11         |-1, -1, -1, 15, -1, 12 | 89            | 88            |
| 0           | 21         |-1, -1, 1, 15, -1, 12 | 79            | 73            |
| 5           | 22         |-1, -1, 1, 15, 2, 12 | 78            | 65            |
| 14           | 29         |-1, 3, 1, 15, 2, 12 | 71            | 40            |
| 150           | 19         |-1, 3, 1, -1, 2, 12 | 81            | 50            |
| 161           | 18         |-1, 3, 1, -1, 2, -1 | 82            | 52            |
| 201           | 17         |-1, 3, 1, -1, -1, -1 | 83            | 60            |
| 211           | 10         |-1, -1, 1, -1, -1, -1 | 90            | 85            |
| 214           | 0         |-1, -1, -1, -1, -1, -1 | 100            | 100            |
